tipo,id_supabase,curso_supabase,chave_supabase,periodo_site_meses,preco_desconto_site_R$,preco_cheio_site_R$,preco_desconto_supabase_preco_com_desconto,preco_cheio_supabase,campo_grad_ou_pos_supabase,match_catalogo,status,observacoes,url_fonte
pos,124,Pós-Graduação em Psicopedagogia com Ênfase em Psicomotricidade,Psicopedagogia com Ênfase em PsicomotricidadeEAD,6,187,623.33,33,623,187,exato: Pós-Graduação em Psicopedagogia com Ênfase em Psicomotricidade,divergente_campo_desconto,preco_com_desconto_aparenta_coluna_errada; valor_correto_parece_estar_em_grad_ou_pos; atualizar_preco_com_desconto_de_grad_ou_pos,https://mg.sumare.edu.br/pos-graduacao/ead
pos,125,Pós-Graduação em Deficiência Auditiva (LIBRAS),Pós-Graduação em Deficiência Auditiva (LIBRAS)EAD,6,187,623.33,33,623,187,exato: Pós-Graduação em Deficiência Auditiva (LIBRAS),divergente_campo_desconto,preco_com_desconto_aparenta_coluna_errada; valor_correto_parece_estar_em_grad_ou_pos; atualizar_preco_com_desconto_de_grad_ou_pos,https://mg.sumare.edu.br/pos-graduacao/ead
pos,126,Pós-Graduação em Gestão Escolar com foco em Recursos Humanos,Pós-Graduação em Gestão Escolar com foco em Recursos HumanosEAD,6,187,623.33,33,623,187,exato: Pós-Graduação em Gestão Escolar com foco em Recursos Humanos,divergente_campo_desconto,preco_com_desconto_aparenta_coluna_errada; valor_correto_parece_estar_em_grad_ou_pos; atualizar_preco_com_desconto_de_grad_ou_pos,https://mg.sumare.edu.br/pos-graduacao/ead
pos,127,Pós-Graduação em Educação Infantil e Desenvolvimento da Linguagem,Pós-Graduação em Educação Infantil e Desenvolvimento da LinguagemEAD,6,187,623.33,33,623,187,exato: Pós-Graduação em Educação Infantil e Desenvolvimento da Linguagem,divergente_campo_desconto,preco_com_desconto_aparenta_coluna_errada; valor_correto_parece_estar_em_grad_ou_pos; atualizar_preco_com_desconto_de_grad_ou_pos,https://mg.sumare.edu.br/pos-graduacao/ead
pos,128,Pós-Graduação em Ensino Lúdico,Pós-Graduação em Ensino LúdicoEAD,6,187,623.33,33,623,187,exato: Pós-Graduação em Ensino Lúdico,divergente_campo_desconto,preco_com_desconto_aparenta_coluna_errada; valor_correto_parece_estar_em_grad_ou_pos; atualizar_preco_com_desconto_de_grad_ou_pos,https://mg.sumare.edu.br/pos-graduacao/ead
pos,129,Pós-Graduação em Administração de Empresas para Engenheiros,Pós-Graduação em Administração de Empresas para EngenheirosEAD,6,227,756.65,65,756,227,exato: Pós-Graduação em Administração de Empresas para Engenheiros,divergente_campo_desconto,preco_com_desconto_aparenta_coluna_errada; valor_correto_parece_estar_em_grad_ou_pos; atualizar_preco_com_desconto_de_grad_ou_pos,https://mg.sumare.edu.br/pos-graduacao/ead
pos,130,Pós-Graduação em Serviços e Sistemas de Saúde,Pós-Graduação em Serviços e Sistemas de SaúdeEAD,6,187,623.33,33,623,187,exato: Pós-Graduação em Serviços e Sistemas de Saúde,divergente_campo_desconto,preco_com_desconto_aparenta_coluna_errada; valor_correto_parece_estar_em_grad_ou_pos; atualizar_preco_com_desconto_de_grad_ou_pos,https://mg.sumare.edu.br/pos-graduacao/ead
pos,131,MBA em Gestão Empresarial,MBA em Gestão EmpresarialEAD,6,187,747.5,33,623,187,exato: MBA em Gestão Empresarial,divergente_campo_desconto,preco_com_desconto_aparenta_coluna_errada; valor_correto_parece_estar_em_grad_ou_pos; cheio_db=623_site=747.5,https://mg.sumare.edu.br/pos-graduacao/ead
pos,132,MBA em Gestão de Projeto,MBA em Gestão de ProjetoEAD,6,187,623.33,33,623,187,exato: MBA em Gestão de Projeto,divergente_campo_desconto,preco_com_desconto_aparenta_coluna_errada; valor_correto_parece_estar_em_grad_ou_pos; atualizar_preco_com_desconto_de_grad_ou_pos,https://mg.sumare.edu.br/pos-graduacao/ead
pos,133,MBA em Liderança e Gestão de Pessoas,MBA em Liderança e Gestão de PessoasEAD,6,187,623.33,33,623,187,exato: MBA em Liderança e Gestão de Pessoas,divergente_campo_desconto,preco_com_desconto_aparenta_coluna_errada; valor_correto_parece_estar_em_grad_ou_pos; atualizar_preco_com_desconto_de_grad_ou_pos,https://mg.sumare.edu.br/pos-graduacao/ead
pos,134,MBA em Finanças Corporativas,MBA em Finanças CorporativasEAD,6,187,623.33,33,623,187,exato: MBA em Finanças Corporativas,divergente_campo_desconto,preco_com_desconto_aparenta_coluna_errada; valor_correto_parece_estar_em_grad_ou_pos; atualizar_preco_com_desconto_de_grad_ou_pos,https://mg.sumare.edu.br/pos-graduacao/ead
pos,135,MBA em Negócios e Vendas,MBA em Negócios e VendasEAD,6,187,623.33,33,623,187,exato: MBA em Negócios e Vendas,divergente_campo_desconto,preco_com_desconto_aparenta_coluna_errada; valor_correto_parece_estar_em_grad_ou_pos; atualizar_preco_com_desconto_de_grad_ou_pos,https://mg.sumare.edu.br/pos-graduacao/ead
pos,136,MBA em Gestão da Qualidade,MBA em Gestão da QualidadeEAD,6,187,623.33,33,623,187,exato: MBA em Gestão da Qualidade,divergente_campo_desconto,preco_com_desconto_aparenta_coluna_errada; valor_correto_parece_estar_em_grad_ou_pos; atualizar_preco_com_desconto_de_grad_ou_pos,https://mg.sumare.edu.br/pos-graduacao/ead
pos,137,MBA em Operações e Logística,MBA em Operações e LogísticaEAD,6,187,623.33,33,623,187,exato: MBA em Operações e Logística,divergente_campo_desconto,preco_com_desconto_aparenta_coluna_errada; valor_correto_parece_estar_em_grad_ou_pos; atualizar_preco_com_desconto_de_grad_ou_pos,https://mg.sumare.edu.br/pos-graduacao/ead
pos,138,Pós-Graduação em Psicologia Organizacional e do Trabalho,Pós-Graduação em Psicologia Organizacional e do TrabalhoEAD,6,187,623.33,33,623,187,exato: Pós-Graduação em Psicologia Organizacional e do Trabalho,divergente_campo_desconto,preco_com_desconto_aparenta_coluna_errada; valor_correto_parece_estar_em_grad_ou_pos; atualizar_preco_com_desconto_de_grad_ou_pos,https://mg.sumare.edu.br/pos-graduacao/ead
pos,139,Pós-Graduação em Fiscalização Urbana,Pós-Graduação em Fiscalização UrbanaEAD,6,399,997.5,5,997,399,exato: Pós-Graduação em Fiscalização Urbana,divergente_campo_desconto,valor_correto_parece_estar_em_grad_ou_pos; atualizar_preco_com_desconto_de_grad_ou_pos,https://mg.sumare.edu.br/pos-graduacao/ead
pos,140,Pós-Graduação em Análise e Projeto de Sistemas,Pós-Graduação em Análise e Projeto de SistemasEAD,6,187,623.33,33,623,187,exato: Pós-graduação em Análise e Projeto de Sistemas,divergente_campo_desconto,preco_com_desconto_aparenta_coluna_errada; valor_correto_parece_estar_em_grad_ou_pos; atualizar_preco_com_desconto_de_grad_ou_pos,https://mg.sumare.edu.br/pos-graduacao/ead
pos,141,Pós-Graduação em Ciência de Dados,Pós-Graduação em Ciência de DadosEAD,6,187,623.33,33,623,187,exato: Pós-Graduação em Ciência de Dados,divergente_campo_desconto,preco_com_desconto_aparenta_coluna_errada; valor_correto_parece_estar_em_grad_ou_pos; atualizar_preco_com_desconto_de_grad_ou_pos,https://mg.sumare.edu.br/pos-graduacao/ead
