curso_id,curso_nome,modalidade,nivel,url_pagina,fonte_dados,pagina_carrossel,ordem_na_pagina,ordem_global,disciplina,texto_intro_secao
ead-administracao-empresas-engenheiros,Administração de Empresas para Engenheiros,EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-administracao-empresas-engenheiros,html,1,1,1,Estratégia Empresarial - 60hs,"As disciplinas de cada curso da Sumaré são concebidas pelo NDE (Núcleo Docente Estruturante), que é composto por professores com notório saber, que além da DCN (Diretrizes Curriculares Nacionais) de cada curso, levam em consideração as pautas mais importantes do mercado de trabalho, ou seja, o que você aprende na Sumaré você usa na prática!"
ead-administracao-empresas-engenheiros,Administração de Empresas para Engenheiros,EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-administracao-empresas-engenheiros,html,1,2,2,Gestão de Pessoas - 60hs,
ead-administracao-empresas-engenheiros,Administração de Empresas para Engenheiros,EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-administracao-empresas-engenheiros,html,1,3,3,Direito Empresarial - 60hs,
ead-administracao-empresas-engenheiros,Administração de Empresas para Engenheiros,EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-administracao-empresas-engenheiros,html,1,4,4,Negociação e Comunicação Executiva - 60hs,
ead-administracao-empresas-engenheiros,Administração de Empresas para Engenheiros,EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-administracao-empresas-engenheiros,html,1,5,5,Marketing Empresarial - 60hs,
ead-administracao-empresas-engenheiros,Administração de Empresas para Engenheiros,EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-administracao-empresas-engenheiros,html,1,6,6,Administração Financeira - 60hs,
ead-ciencia-de-dados,Ciência de Dados,EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-ciencia-de-dados,html,1,1,1,Gestão de Projetos - 60hs,"As disciplinas de cada curso da Sumaré são concebidas pelo NDE (Núcleo Docente Estruturante), que é composto por professores com notório saber, que além da DCN (Diretrizes Curriculares Nacionais) de cada curso, levam em consideração as pautas mais importantes do mercado de trabalho, ou seja, o que você aprende na Sumaré você usa na prática!"
ead-ciencia-de-dados,Ciência de Dados,EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-ciencia-de-dados,html,1,2,2,Sistemas e Tecnologia da Informação - 60hs,
ead-ciencia-de-dados,Ciência de Dados,EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-ciencia-de-dados,html,1,3,3,Modelagem e Desenvolvimento de Banco de Dados - 60hs,
ead-ciencia-de-dados,Ciência de Dados,EAD,pos,https://mg.sumare.edu.br/cursos/pos-graduacao/ead/ead-ciencia-de-dados,html,1,4,4,BIG Data e IoT - 60hs,
