curso_id,curso_nome,modalidade,codigo_api,url_pagina,fonte_dados,total_disciplinas,total_paginas,disciplinas_lista,texto_intro_secao,ok
administracao,Administração,EAD,ADM_EAD,https://sumare.edu.br/graduacao/ead/administracao,api,39,8,Administração Contemporânea | Atividade Extensionista - Gestão Empresarial | Comunicação e Marketing | Contabilidade | Tecnologia e Sociedade | Estatística Aplicada | Atividade Extensionista - Recursos Financeiros e Humanos | Matemática Financeira | Legislação Trabalhista | Sustentabilidade e Responsabilidade Social | Análise das Demonstrações Financeiras | Atividade Extensionista - Gestão por Competência e Análise de Dados | Economia | Administração de Pessoal e Cálculos Trabalhistas | Filosofia | Logística | Atividade Extensionista - Gestão Operacional | Finanças Corporativas e Riscos Financeiros | Teorias Organizacionais | Comportamento nas Organizações | Marketing de Serviços | Recursos Humanos | Planejamento Orçamentário | Lógica e Interpretação de Dados | Administração da Produção | Direito Público e Privado | Gestão de Custos e Preços | Governança Corporativa | Gestão de Pessoas | Inovação e Empreendedorismo | Controladoria | Direito Empresarial | Gestão Ambiental nas Empresas | ATC | Estágio Obrigatório | PPI | Plano de Negócios | Tópicos de Gestão | Aplicação e Análise de Casos,"As disciplinas de cada curso da Sumaré são concebidas pelo NDE (Núcleo Docente Estruturante), que é composto por professores com notório saber, que além da DCN (Diretrizes Curriculares Nacionais) de cada curso, levam em consideração as pautas mais importantes do mercado de trabalho, ou seja, o que você aprende na Sumaré você usa na prática!",sim
administracao,Administração,Presencial,},https://sumare.edu.br/graduacao/presencial/administracao,html,0,0,,"As disciplinas de cada curso da Sumaré são concebidas pelo NDE (Núcleo Docente Estruturante), que é composto por professores com notório saber, que além da DCN (Diretrizes Curriculares Nacionais) de cada curso, levam em consideração as pautas mais importantes do mercado de trabalho, ou seja, o que você aprende na Sumaré você usa na prática!",nao
analise-e-desenvolvimento-de-sistemas,Análise e Desenvolvimento de Sistemas,EAD,ADS_EAD,https://sumare.edu.br/graduacao/ead/analise-e-desenvolvimento-de-sistemas,api,32,5,Arquitetura de Computadores | Atividade Extensionista - Tópicos da Computação | Redes de Computadores e Telecomunicação | Sistemas Operacionais | Desenvolvimento para WEB | Tecnologia e Sociedade | Algoritmos | Atividade Extensionista - Programação WEB | Banco de Dados | Paradigmas e Linguagem de Programação | Programação em Banco de Dados | Sustentabilidade e Responsabilidade social | Gestão de Projetos | Atividade Extensionista - Administração de Sistemas | Engenharia de Software | Qualidade de Software | Segurança da Informação | Empreendedorismo | Laboratório de Programação | Atividade Extensionista - Técnicas de Programação | Programação Paralela e Concorrente | Estrutura de Dados | Programação Orientada a Objetos | Comportamento nas Organizações | Interface Humano-Computador | Atividade Extensionista - Projeto de Sistemas | ATC | Estágio Obrigatório | PPI | Probabilidade e Estatística | Análise de Projeto de Sistemas | Mineração de Dados,"As disciplinas de cada curso da Sumaré são concebidas pelo NDE (Núcleo Docente Estruturante), que é composto por professores com notório saber, que além da DCN (Diretrizes Curriculares Nacionais) de cada curso, levam em consideração as pautas mais importantes do mercado de trabalho, ou seja, o que você aprende na Sumaré você usa na prática!",sim
arquitetura-e-urbanismo,Arquitetura e Urbanismo,EAD,ARUB_EAD,https://sumare.edu.br/graduacao/ead/arquitetura-e-urbanismo,html,49,10,"Bem-Vindo ao AVA Sumaré | Conheça seu Tutor | Conheça seu curso - Arquitetura e Urbanismo | Artesanato e Cultura Brasileira | Teoria e História da Arquitetura I | Teoria e História da Arquitetura II | Projeto Arquitetônico | Atividade Extensionista - Teoria e História da Arquitetura | Biblioteca Virtual | Teoria do Urbanismo | Estudos da Cidade | Topografia | Ética e Sociologia | Atividade Extensionista - Topografia | Teoria e História do Paisagismo | Desenho Artístico e Arquitetônico | Diversidade Étnico-Cultural | Paisagismo e Composição Paisagística | Atividade Extensionista - Paisagismo | História das Artes e Estética | Expressão Gráfica e Geometria Descritiva | Representação Gráfica | Informática Aplicada a Arquitetura | Atividade Extensionista - História das Artes e Estética | Estágio Supervisionado - Arquitetura e Engenharia | Resistência dos Materiais | Materiais de Construção Civil | Fundações | Construção Civil | Saneamento: pluviais e sanitário | Sistemas prediais elétricos | Estruturas Metálicas, de Madeira e Pré-Fabricadas | Concreto Armado | Custos e planejamentos | Gestão Ambiental e Meio Ambiente | Conforto Ambiental: Luminotécnica e Ergonomia | Conforto Ambiental: Térmico e Climático | Conforto Ambiental: Acústico | Planejamento e mobilidade urbanos | Projeto de Interiores | Teoria do Restauro e do Patrimônio | Arquitetura Sustentável | Legislação Urbana | Trabalho de Conclusão de Curso : Projetos | Segurança do Trabalho e Saúde Ocupacional | Gestão de Resíduos | Gestão de Projetos | Trabalho de Conclusão de Curso : Aplicação | Empreendedorismo e Inovação","As disciplinas de cada curso da Sumaré são concebidas pelo NDE (Núcleo Docente Estruturante), que é composto por professores com notório saber, que além da DCN (Diretrizes Curriculares Nacionais) de cada curso, levam em consideração as pautas mais importantes do mercado de trabalho, ou seja, o que você aprende na Sumaré você usa na prática!",sim
arquitetura-e-urbanismo,Arquitetura e Urbanismo,Semipresencial,ARUB_SEMI,https://sumare.edu.br/graduacao/semi/arquitetura-e-urbanismo,html,54,10,"Bem-Vindo ao AVA Sumaré | Conheça seu Tutor | Conheça seu curso - Arquitetura e Urbanismo Semipresencial | Teoria e História da Arquitetura I | Teoria e História da Arquitetura II | Representação Gráfica | Ética e Sociologia | Atividade Extensionista - Teoria e História da Arquitetura | Biblioteca Virtual | Introdução e Fundamentos da Arquitetura e Urbanismo | Estudos da Cidade | História das Artes e Estética | Expressão Gráica e Geometria Descritiva | Atividade Extensionista - Estudos das Cidades | Teoria e História do Paisagismo | Paisagismo e Composição Paisagística | Desenho de Observação | Informática Aplicada a Arquitetura | Atividade Extensionista - Aplicações de Paisagismo | Topografia | Teoria do Urbanismo | Arquitetura Contemporânea | Diversidade Étnico Cultural | Atividade Extensionista - Arquitetura Contemporânea | Estágio Supervisionado - Arquitetura e Engenharia | Resistência dos Materiais | Materiais de Construção Civil | Legislação Urbana | Arquitetura Unifamiliar | Atividade Extensionista - Ediicações Uniffamiliar | Estruturas Metálicas, de Madeira e Pré-Fabricadas | Projeto Arquitetônico Multifamiliar | Fundações e Concreto Armado | Saneamento: Pluviais e Sanitário | Sistemas Prediais Elétricos | Custos e Planejamentos | Atividade Extensionista - Ediicações Multifamiliar | Conforto Ambiental: Térmico e Climático | Conforto Ambiental: Luminotécnica e Ergonomia | Conforto Ambiental: Luz e Acústico | Gestão Ambiental e Meio Ambiente | Atividade Extensionista - Conforto Ambiental | Teoria do Restauro e do Patrimônio | Projeto de Interiores | Planejamento e Mobilidade Urbanos | Arquitetura Sustentável | Atividade Extensionista - Planejamento e Arquitetura Sustentável | Trabalho de Conclusão de Curso : Projetos | Gestão de Projetos | Planejamento Ambiental e de Espaços Livres | Atividade Extensionista - Gestão de Projetos | Trabalho de Conclusão de Curso : Aplicação | Segurança do Trabalho e Saúde Ocupacional | Técnicas de Apresentação e Portifólio","As disciplinas de cada curso da Sumaré são concebidas pelo NDE (Núcleo Docente Estruturante), que é composto por professores com notório saber, que além da DCN (Diretrizes Curriculares Nacionais) de cada curso, levam em consideração as pautas mais importantes do mercado de trabalho, ou seja, o que você aprende na Sumaré você usa na prática!",sim
banco-de-dados,Banco de Dados,EAD,BD_EAD,https://sumare.edu.br/graduacao/ead/banco-de-dados,api,32,5,Arquitetura de Computadores | Atividade Extensionista - Tópicos da Computação | Redes de Computadores e Telecomunicação | Sistemas Operacionais | Desenvolvimento para WEB | Tecnologia e Sociedade | Banco de Dados | Atividade Extensionista - Programação WEB | Algoritmos | Gestão de Projetos | Segurança da Informação | Sustentabilidade e Responsabilidade social | Administração de Banco de Dados | Atividade Extensionista - Arquitetura Banco de Dados | Engenharia de Software | Data Werehouse | Backup e Recuperação de Dados | Empreendedorismo | Estrutura de Dados | Atividade Extensionista - Programação em Banco de Dados | Gestão de Sistemas de Informação | Programação em SQL | TI Aplicada aos Negócios | Comportamento nas Organizações | Armazenamento de Dados | Atividade Extensionista - Tópicos Avançados em Banco de Dados | ATC | Estágio Obrigatório | PPI | Inteligência de Negócios | Mineração de Dados | Banco de Dados não Relacional,"As disciplinas de cada curso da Sumaré são concebidas pelo NDE (Núcleo Docente Estruturante), que é composto por professores com notório saber, que além da DCN (Diretrizes Curriculares Nacionais) de cada curso, levam em consideração as pautas mais importantes do mercado de trabalho, ou seja, o que você aprende na Sumaré você usa na prática!",sim
biomedicina,Biomedicina,EAD,BIOM_EAD,https://sumare.edu.br/graduacao/ead/biomedicina,html,45,8,Bem-Vindo ao AVA Sumaré | Conheça seu Tutor | Conheça seu curso - Biomedicina | Biossegurança e Boas Práticas Laboratoriais | Estrutura celular e tecidual: anatomia e citologia | Estrutura celular e tecidual: histologia e embriologia | Aplicação da Biomedicina | Atividade Extensionista - Aplicação da Biomedicina | Coleta de Materiais Biológicos | Biblioteca Virtual | Fisiologia | Química geral / Bioquímica | Sistemas Anatômicos | Estátistica Aplicada à Saúde | Atividade Extensionista - Análise Laboratoriais | Biologia Molecular e Biotecnologia | Atividade Extensionista - Doenças Infecciosas e Parasitárias | Urinalise | Mecanismos de agressão e defesa: Imunologia e Parasitologia | Mecanismos de agressão e defesa: Microbiologia | Filosofia | Genética e Patologia | Parasitologia Clínica | Farmacologia | Atividade Extensionista - Patologia Clínica | Comportamento nas Organizações | Hematologia | Epidemiologia e Saúde Pública | Metodologia Científica | Direito Empresarial | Controle de Qualidade e Gerenciamento Laboratorial | Toxicologia | Microbiologia / Micologia Médica | Relações Étnico-Raciais e Cultura Afro-Bras. e Africana e Indígena | Estágio Supervisionado - Biomedicina | Citopatologia / Citologia Clínica | Saneamento e Análise Ambiental | Imagenologia | Tecnologia e Sociedade | Biomedicina Forence | Bromatologia | Trabalho de Conclusão de Curso | Bioquímica Clinica | Tópicos de Atuação Profissional - Biomedicina | Sustentabilidade e Responsabilidade Social,"As disciplinas de cada curso da Sumaré são concebidas pelo NDE (Núcleo Docente Estruturante), que é composto por professores com notório saber, que além da DCN (Diretrizes Curriculares Nacionais) de cada curso, levam em consideração as pautas mais importantes do mercado de trabalho, ou seja, o que você aprende na Sumaré você usa na prática!",sim
biomedicina,Biomedicina,Presencial,},https://sumare.edu.br/graduacao/presencial/biomedicina,html,0,0,,"As disciplinas de cada curso da Sumaré são concebidas pelo NDE (Núcleo Docente Estruturante), que é composto por professores com notório saber, que além da DCN (Diretrizes Curriculares Nacionais) de cada curso, levam em consideração as pautas mais importantes do mercado de trabalho, ou seja, o que você aprende na Sumaré você usa na prática!",nao
biomedicina,Biomedicina,Semipresencial,BIOM_SEMI,https://sumare.edu.br/graduacao/semi/biomedicina,html,45,8,Bem-Vindo ao AVA Sumaré | Conheça seu Tutor | Conheça seu curso - Biomedicina Semipresencial | Sistemas Anatômicos | Filosofia | Biossegurança e boas Práticas Laboratoriais | Coleta de Materiais Biológicos | Bioquímica Básica | Atividade Extensionista - Aplicação da Biomedicina | Biblioteca Virtual | Citologia | Aplicação da Biomedicina | Estrutura Celular e Tecidual: Histologia e Embriologia | Estatística Aplicada à Saúde | Atividade Extensionista - Análise Laboratoriais | Mecanismos de Agressão e Defesa: Imunologia e Parasitologia | Fisiologia | Mecanismos de Agressão e Defesa: Microbiologia | Biologia Molecular e Biotecnologia | Urinalise | Atividade Extensionista - Doenças Infecciosas e Parasitárias | Comportamento nas Organizações | Genética e Patologia | Parasitologia Clinica | Fundamentos da Farmacologia | Atividade Extensionista - Patologia Clinica | Metodologia Científica | Epidemiologia e Saúde Pública | Hematologia | Direito Empresarial | Controle de Qualidade e Gerenciamento Laboratorial | Microbiologia / Micologia Médica | Relações Étnico-raciais e Cultura Afro-Bras. e Africana e Indigena | Toxicologia | Estágio Supervisionado - Biomedicina | Imagenologia | Citopatologia / Citologia Clinica | Saneamento e Análise Ambiental | Tecnologia e Sociedade | Biomedicina Forense | Bioquimica Clinica | Bromatologia | Tópicos de Atuação Profissional - Biomedicina | Sustentabilidade e Responsabilidade Social | Trabalho de Conclusão de Curso,"As disciplinas de cada curso da Sumaré são concebidas pelo NDE (Núcleo Docente Estruturante), que é composto por professores com notório saber, que além da DCN (Diretrizes Curriculares Nacionais) de cada curso, levam em consideração as pautas mais importantes do mercado de trabalho, ou seja, o que você aprende na Sumaré você usa na prática!",sim
ciencia-da-computacao,Ciência da Computação,EAD,CCOMP_EAD,https://sumare.edu.br/graduacao/ead/ciencia-da-computacao,api,39,8,Arquitetura de Computadores | Atividade Extensionista - Tópicos da Computação | Redes de Computadores e Telecomunicação | Desenvolvimento para WEB | Tecnologia e Sociedade | Banco de Dados | Atividade Extensionista - Programação WEB | Algoritmos | Programação Orientada a Objetos | Sustentabilidade e Responsabilidade social | Segurança da Informação | Atividade Extensionista - Engenharia de Software | Engenharia de Software | Estrutura de Dados | Filosofia | Computação Gráfica Processamento de Imagem | Atividade Extensionista - Computação Gráfica | Probabilidade e Estatística | Teoria da Computação | Comportamento nas Organizações | Compiladores | Paradigmas e Linguagem de Programação | Sistemas Distribuídos | Direito Empresarial | Laboratório de Programação | Matemática Computacional | Teoria dos Grafos | Empreendedorismo | Geometria Analítica e Vetores | Inteligência Artificial | Interface Humano-Computador | Lógica e Interpretação de Dados | Direito Digital | ATC | Estágio Obrigatório | PPI | Linguagens Formais e Autômatos | Programação Concorrente e Paralela | Aplicação e Análise de Casos,"As disciplinas de cada curso da Sumaré são concebidas pelo NDE (Núcleo Docente Estruturante), que é composto por professores com notório saber, que além da DCN (Diretrizes Curriculares Nacionais) de cada curso, levam em consideração as pautas mais importantes do mercado de trabalho, ou seja, o que você aprende na Sumaré você usa na prática!",sim
