curso_id,curso_nome,modalidade,codigo_api,url_pagina,fonte_dados,pagina_carrossel,ordem_na_pagina,ordem_global,disciplina,texto_intro_secao
administracao,Administração,EAD,ADM_EAD,https://sumare.edu.br/graduacao/ead/administracao,api,1,1,1,Administração Contemporânea,"As disciplinas de cada curso da Sumaré são concebidas pelo NDE (Núcleo Docente Estruturante), que é composto por professores com notório saber, que além da DCN (Diretrizes Curriculares Nacionais) de cada curso, levam em consideração as pautas mais importantes do mercado de trabalho, ou seja, o que você aprende na Sumaré você usa na prática!"
administracao,Administração,EAD,ADM_EAD,https://sumare.edu.br/graduacao/ead/administracao,api,1,2,2,Atividade Extensionista - Gestão Empresarial,
administracao,Administração,EAD,ADM_EAD,https://sumare.edu.br/graduacao/ead/administracao,api,1,3,3,Comunicação e Marketing,
administracao,Administração,EAD,ADM_EAD,https://sumare.edu.br/graduacao/ead/administracao,api,1,4,4,Contabilidade,
administracao,Administração,EAD,ADM_EAD,https://sumare.edu.br/graduacao/ead/administracao,api,1,5,5,Tecnologia e Sociedade,
administracao,Administração,EAD,ADM_EAD,https://sumare.edu.br/graduacao/ead/administracao,api,2,1,6,Estatística Aplicada,
administracao,Administração,EAD,ADM_EAD,https://sumare.edu.br/graduacao/ead/administracao,api,2,2,7,Atividade Extensionista - Recursos Financeiros e Humanos,
administracao,Administração,EAD,ADM_EAD,https://sumare.edu.br/graduacao/ead/administracao,api,2,3,8,Matemática Financeira,
administracao,Administração,EAD,ADM_EAD,https://sumare.edu.br/graduacao/ead/administracao,api,2,4,9,Legislação Trabalhista,
administracao,Administração,EAD,ADM_EAD,https://sumare.edu.br/graduacao/ead/administracao,api,2,5,10,Sustentabilidade e Responsabilidade Social,
administracao,Administração,EAD,ADM_EAD,https://sumare.edu.br/graduacao/ead/administracao,api,3,1,11,Análise das Demonstrações Financeiras,
administracao,Administração,EAD,ADM_EAD,https://sumare.edu.br/graduacao/ead/administracao,api,3,2,12,Atividade Extensionista - Gestão por Competência e Análise de Dados,
administracao,Administração,EAD,ADM_EAD,https://sumare.edu.br/graduacao/ead/administracao,api,3,3,13,Economia,
administracao,Administração,EAD,ADM_EAD,https://sumare.edu.br/graduacao/ead/administracao,api,3,4,14,Administração de Pessoal e Cálculos Trabalhistas,
administracao,Administração,EAD,ADM_EAD,https://sumare.edu.br/graduacao/ead/administracao,api,3,5,15,Filosofia,
administracao,Administração,EAD,ADM_EAD,https://sumare.edu.br/graduacao/ead/administracao,api,4,1,16,Logística,
administracao,Administração,EAD,ADM_EAD,https://sumare.edu.br/graduacao/ead/administracao,api,4,2,17,Atividade Extensionista - Gestão Operacional,
administracao,Administração,EAD,ADM_EAD,https://sumare.edu.br/graduacao/ead/administracao,api,4,3,18,Finanças Corporativas e Riscos Financeiros,
administracao,Administração,EAD,ADM_EAD,https://sumare.edu.br/graduacao/ead/administracao,api,4,4,19,Teorias Organizacionais,
administracao,Administração,EAD,ADM_EAD,https://sumare.edu.br/graduacao/ead/administracao,api,4,5,20,Comportamento nas Organizações,
administracao,Administração,EAD,ADM_EAD,https://sumare.edu.br/graduacao/ead/administracao,api,5,1,21,Marketing de Serviços,
administracao,Administração,EAD,ADM_EAD,https://sumare.edu.br/graduacao/ead/administracao,api,5,2,22,Recursos Humanos,
administracao,Administração,EAD,ADM_EAD,https://sumare.edu.br/graduacao/ead/administracao,api,5,3,23,Planejamento Orçamentário,
administracao,Administração,EAD,ADM_EAD,https://sumare.edu.br/graduacao/ead/administracao,api,5,4,24,Lógica e Interpretação de Dados,
administracao,Administração,EAD,ADM_EAD,https://sumare.edu.br/graduacao/ead/administracao,api,6,1,25,Administração da Produção,
administracao,Administração,EAD,ADM_EAD,https://sumare.edu.br/graduacao/ead/administracao,api,6,2,26,Direito Público e Privado,
administracao,Administração,EAD,ADM_EAD,https://sumare.edu.br/graduacao/ead/administracao,api,6,3,27,Gestão de Custos e Preços,
administracao,Administração,EAD,ADM_EAD,https://sumare.edu.br/graduacao/ead/administracao,api,6,4,28,Governança Corporativa,
administracao,Administração,EAD,ADM_EAD,https://sumare.edu.br/graduacao/ead/administracao,api,7,1,29,Gestão de Pessoas,
administracao,Administração,EAD,ADM_EAD,https://sumare.edu.br/graduacao/ead/administracao,api,7,2,30,Inovação e Empreendedorismo,
administracao,Administração,EAD,ADM_EAD,https://sumare.edu.br/graduacao/ead/administracao,api,7,3,31,Controladoria,
administracao,Administração,EAD,ADM_EAD,https://sumare.edu.br/graduacao/ead/administracao,api,7,4,32,Direito Empresarial,
administracao,Administração,EAD,ADM_EAD,https://sumare.edu.br/graduacao/ead/administracao,api,8,1,33,Gestão Ambiental nas Empresas,
administracao,Administração,EAD,ADM_EAD,https://sumare.edu.br/graduacao/ead/administracao,api,8,2,34,ATC,
administracao,Administração,EAD,ADM_EAD,https://sumare.edu.br/graduacao/ead/administracao,api,8,3,35,Estágio Obrigatório,
administracao,Administração,EAD,ADM_EAD,https://sumare.edu.br/graduacao/ead/administracao,api,8,4,36,PPI,
administracao,Administração,EAD,ADM_EAD,https://sumare.edu.br/graduacao/ead/administracao,api,8,5,37,Plano de Negócios,
administracao,Administração,EAD,ADM_EAD,https://sumare.edu.br/graduacao/ead/administracao,api,8,6,38,Tópicos de Gestão,
